DISP_DATE,ORIG_PROV_CODE,ORIG_PROV_NAME,ORIG_DIST_CODE,ORIG_DIST_NAME,DISP_PROV_CODE,DISP_PROV_NAME,DISP_DIST_CODE,DISP_DIST_NAME,DISP_IND,DISP_FAM,DISP_ADULT_MALE,DISP_ADULT_FEMALE,DISP_CHILDREN_U18
#date+occurred,#admin1+code+x_origin,#admin1+name+x_origin,#admin2+code+x_origin,#admin2+name+x_origin,#admin1+code+x_destination,#admin1+name+x_destination,#admin2+code+x_destination,#admin2+name+x_destination,#affected+displaced,#affected+dispalced+families,#affected+displaced+m+adults,#affected+displaced+f+adults,#affected+dispalced+children
19-01-20,31,Farah,3108,Lash-e-Juwayn,31,Farah,3101,Farah,12,2,,,
20-01-20,31,Farah,3105,Pushtrod,31,Farah,3101,Farah,133,19,,,
21-01-20,31,Farah,3106,Qala-e-Kah,31,Farah,3101,Farah,94,14,,,
22-01-20,31,Farah,3107,Shibkoh,31,Farah,3101,Farah,8,1,,,
28-01-20,21,Ghor,2103,DoLayna,21,Ghor,2101,Chaghcharan,24,4,,,
28-01-20,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,36,6,,,
28-01-20,21,Ghor,2107,Pasaband,21,Ghor,2101,Chaghcharan,60,10,,,
28-01-20,21,Ghor,2104,Dawlatyar,21,Ghor,2101,Chaghcharan,36,6,,,
28-01-20,21,Ghor,2102,Charsadra,21,Ghor,2101,Chaghcharan,42,7,,,
28-01-20,29,Badghis,2905,Jawand,21,Ghor,2101,Chaghcharan,18,3,,,
28-01-20,30,Hirat,3016,Chisht-e-Sharif,21,Ghor,2101,Chaghcharan,18,3,,,
01-02-20,29,Badghis,2906,Balamurghab,29,Badghis,2903,Abkamari,20,4,,,
10-02-20,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,98,13,,,
10-02-20,31,Farah,3101,Farah,31,Farah,3101,Farah,143,23,,,
10-02-20,31,Farah,3108,Lash-e-Juwayn,31,Farah,3101,Farah,38,6,,,
10-02-20,31,Farah,3104,Khak-e-Safed,31,Farah,3101,Farah,33,5,,,
10-02-20,31,Farah,3105,Pushtrod,31,Farah,3101,Farah,148,21,,,
10-02-20,31,Farah,3106,Qala-e-Kah,31,Farah,3101,Farah,55,9,,,
10-02-20,31,Farah,3107,Shibkoh,31,Farah,3101,Farah,8,1,,,
12-02-20,30,Hirat,3015,Shindand,30,Hirat,3002,Injil,70,10,,,
12-02-20,30,Hirat,3012,Obe,30,Hirat,3002,Injil,56,8,,,
12-02-20,30,Hirat,3008,Gulran,30,Hirat,3002,Injil,63,9,,,
12-02-20,29,Badghis,2905,Jawand,30,Hirat,3002,Injil,84,12,,,
12-02-20,17,Kunduz,1706,Khanabad,30,Hirat,3002,Injil,49,7,,,
12-02-20,22,Daykundi,2207,Sang-e-Takht,30,Hirat,3002,Injil,7,1,,,
12-02-20,31,Farah,3101,Farah,31,Farah,3101,Farah,55,9,,,
13-02-20,31,Farah,3108,Lash-e-Juwayn,31,Farah,3101,Farah,22,5,,,
